MRCO_36647, material-9, jacarandá | madeira
MINC_172514, material, Madeira | Mármore | Metal
MHNA_162791, material, aço | prata
MCBC_9778, material, Madeira | Tinta | Vidro
MINC_147262, material, Madeira > Cedro | Ouro | Tintas
MCHE_59442, materiais, Prata
MCHE_41519, materiais, Madeira | Palhinha
MASB_49059, material, Metal > Latão | Metal > Níquel
MCBC_10085, material, Argila
MCHA_20483, materiais_tecnicas-2, Porcelana
MCHE_41035, materiais, Madeira | Palhinha
MCHE_59827, materiais, Prata
MCHE_40969, materiais, Vidro
MCBC_11704, material, Madeira > Ébano | Metal
MINC_187539, material, Palha > Junco | Madeira
MCHE_68706, materiais, Cerâmica | Pó de Ouro
MINC_41461, material, Fibra Têxtil | Madeira > Jacarandá | Ouro
MCHE_52507, materiais, Cerâmica | Pó de Ouro
MCHE_65870, materiais, Cerâmica | Pó de Ouro
MCBC_9919, material, Madeira > Nogueira | Palhinha
MCHA_24230, materiais_tecnicas-2, Porcelana
MCBC_9540, material, Madeira | Mármore
MCHE_48538, materiais, Madeira | Metal
MINC_37730, material, Madeira | Ouro | Tintas
MINC_173743, material, Ferro | Madeira
MCBC_10809, material, Argila
MINC_42262, material, Madeira > Jacarandá | Madeira
MRSJ_20746, material-3, Madeira | Metal
MCBC_10081, material, Argila
MINC_184009, material, Ferro | Madeira | Tintas
MINC_140108, material, Folha-de-flandres | Tintas
MCHE_40297, materiais, Madeira | Palhinha
MCHA_14651, materiais_tecnicas-2, Ferro
MCHE_52747, materiais, Cerâmica | Pó de Ouro
MCHE_51922, materiais, Madeira | Palhinha
MDIA_31388, material-tecnica-3, entrançado | jacarandá | madeira | marcenaria | marchetaria | palhinha | pau-marfim
MINC_227703, material, 
MCBC_10865, material, Argila | Vidro > Cristal | Metal
MCHE_44893, materiais, Cobre | Cristal Bacará
MINC_46408, material, Prata
MCBC_10079, material, Argila
MDIA_31851, material-tecnica-3, madeira | marcenaria | torneado
MINC_73273, material, Madeira
MINC_205505, material, Madeira
MINC_140548, material, Folha-de-flandres | Tintas
MBAN_12719, material, Madeira
MCHE_52843, materiais, Cerâmica | Pó de Ouro
MINC_162359, material, Latão
MINC_147672, material, Folha-de-flandres | Vidro
MRCO_35909, material-9, madeira | palinha
MINC_231209, material, 
MDIA_31946, material-tecnica-3, cerâmica | decalcomania | esmalte | porcelana | queima | tinta
MHNA_160513, material, porcelana
MDIA_30954, material-tecnica-3, fundição | metal
MCHE_46233, materiais, Linha de Algodão | Linho
MDIA_31997, material-tecnica-3, decalcomania | porcelana | queima | tinta
MINC_34553, material, Madeira | Ouro | Tintas
MCHA_21269, materiais_tecnicas-2, Porcelana
MINC_201834, material, Aluminato de Prata | Madeira > Cedro
MINC_185806, material, Ferro | Madeira
MDIA_33835, material-tecnica-3, pintura | porcelana | queima | tinta
